login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
reaperhulk,reaperhulk/Tab-Duplicator,2010-06-14T03:27:51Z,9,9,JavaScript,True,True,
gilbert,gilbert/lomicbox,2010-06-24T21:09:15Z,1,1,,True,True,
philkr,philkr/lpo,2015-04-10T23:40:15Z,90,90,C++,True,True,
irlnathan,irlnathan/picuploader,2012-04-14T19:03:10Z,1,1,Ruby,True,True,
jcran,jcran/sample-scan-files,2024-04-11T02:37:56Z,0,0,,True,True,mit
DavidAJohnston,DavidAJohnston/hacktm,2013-10-13T00:20:40Z,0,0,C,True,True,other
birdsarah,birdsarah/appjs-browserhistory,2012-09-20T17:20:11Z,1,1,D,True,True,mit
nodebotanist,nodebotanist/jsconf2014,2014-05-13T23:16:40Z,1,1,JavaScript,True,True,mit
shortstack,shortstack/CrashCourse,2014-10-28T02:49:44Z,0,0,Java,True,True,
scarolan,scarolan/weather_orb,2013-05-25T18:26:02Z,0,0,Python,True,True,
BDHU,BDHU/mnist-demo,2017-04-18T20:44:47Z,1,1,Python,True,True,
alvaromontoro,alvaromontoro/dsong-spotify,2012-09-07T04:29:00Z,0,0,JavaScript,True,True,
joshtronic,joshtronic/river-of-doom,2010-08-14T19:43:37Z,2,2,JavaScript,True,True,
jalapic,jalapic/tpatterns,2016-02-07T17:44:02Z,0,0,C++,True,True,
BusterNeece,BusterNeece/PVLive-Mobile,2015-02-03T23:00:28Z,5,5,JavaScript,True,True,
mrflip,mrflip/acts_as_pimp,2008-06-09T05:27:19Z,4,4,Shell,True,True,mit
ryanhlewis,ryanhlewis/tba-api-client-kotlin,2022-04-20T00:46:04Z,1,1,,True,True,
Arinerron,Arinerron/LinesOfCode,2015-11-06T05:06:00Z,5,5,Java,True,True,cc0-1.0
jonthegeek,jonthegeek/uscollegestesting,2018-03-30T21:34:32Z,0,0,R,True,True,
DavidStinson,DavidStinson/MemoryGame,2019-12-31T04:11:47Z,0,0,JavaScript,True,True,
nklayman,nklayman/clocal-azure,2018-10-26T17:56:21Z,0,0,JavaScript,True,True,apache-2.0
yifanjiang19,yifanjiang19/RecruitSystem,2016-10-04T11:55:52Z,0,0,Python,True,True,
luwes,luwes/Zebroid,2012-05-20T06:56:07Z,2,2,ActionScript,True,True,
syedhali,syedhali/Microphone,2016-10-18T15:32:17Z,0,0,Java,True,True,
zobront,zobront/fastbook,2020-12-18T16:41:55Z,0,0,,True,True,other
dbaldwin,dbaldwin/ardupilot,2013-04-26T20:24:04Z,0,0,C,True,True,gpl-3.0
akutz,akutz/SubHeadSub,2011-10-11T12:06:51Z,3,3,,True,True,
evanlucas,evanlucas/PSTreeGraph,2012-07-26T21:05:57Z,0,0,Objective-C,True,True,
holtskinner,holtskinner/MizzouSENG,2016-09-02T12:50:59Z,0,0,HTML,True,True,mit
wickett,wickett/pingdom-ec2-security,2014-09-13T20:59:11Z,0,0,,True,True,mit
wpengine,wpengine/wpe-search-DEPRECATED,2015-01-14T20:02:32Z,31,31,PHP,False,False,
gnomeontherun,gnomeontherun/pulltester,2011-12-03T20:24:22Z,1,1,PHP,True,True,
sanity,sanity/YAPL,2010-11-21T22:27:57Z,1,1,,True,True,
mdbartos,mdbartos/d3b,2014-08-22T02:13:56Z,1,1,,True,True,
ospencer,ospencer/FolditMultitouch,2015-03-02T19:56:06Z,0,0,Java,True,True,
paulczar,paulczar/github-test,2012-10-27T21:22:20Z,0,0,,True,True,
particlebanana,particlebanana/kthxbye-node,2010-10-20T02:36:20Z,1,1,JavaScript,True,True,
sebersole,sebersole/gradle-inject-version-plugin,2011-03-21T18:48:41Z,1,1,,True,True,
sahin,sahin/test,2015-04-04T01:06:57Z,0,0,,True,True,
markmarkoh,markmarkoh/ABingo,2010-05-04T09:32:21Z,0,0,Ruby,True,True,mit
jdorn,jdorn/mxn,2011-09-28T17:24:00Z,3,3,JavaScript,True,True,other
msarahan,msarahan/DM_plugin_SerialComm,2012-04-11T04:23:06Z,1,1,C++,True,True,gpl-3.0
jbednar,jbednar/AbstractRendering,2015-08-26T18:25:03Z,0,0,Java,True,True,other
benbrown,benbrown/node-crudapi,2013-05-22T22:19:34Z,2,2,JavaScript,True,True,
fredemmott,fredemmott/slamd64-www,2011-07-31T16:01:10Z,1,1,C++,True,True,
bradgarropy,bradgarropy/pathfinding,2015-04-02T04:27:07Z,0,0,Python,True,True,
nicolaka,nicolaka/docker-apache2,2015-10-07T21:01:32Z,0,0,PHP,True,True,apache-2.0
brad-decker,brad-decker/node-phpass,2014-12-29T17:46:50Z,0,0,JavaScript,True,True,
drusellers,drusellers/RequiredReading,2011-03-02T14:23:41Z,1,1,,True,True,
jbellis,jbellis/helenus,2008-12-22T20:15:32Z,2,2,Java,True,True,apache-2.0
JacobMGEvans,JacobMGEvans/world.geo.json,2021-04-19T20:05:05Z,0,0,,True,False,other
TrentWalton,TrentWalton/csszengarden.com,2013-11-25T21:31:22Z,4,4,CSS,True,True,
splittingred,splittingred/searchtweets,2010-05-05T12:57:16Z,2,2,PHP,True,True,
jiaaro,jiaaro/django-taxonomy,2011-04-26T17:14:39Z,1,1,Python,True,True,bsd-3-clause
sh1mmer,sh1mmer/node-arduino-wifi,2011-05-14T00:36:53Z,3,3,,True,True,
jeffreybiles,jeffreybiles/kaminari_themes,2012-07-03T03:07:53Z,0,0,,True,True,
epixoip,epixoip/nstree,2015-02-21T21:35:42Z,1,1,Perl,True,True,
handcraftsman,handcraftsman/BlackBoxRecorder,2010-05-28T15:25:36Z,2,2,C#,True,True,
JoshuaWise,JoshuaWise/accept-webp,2015-03-12T18:47:16Z,1,1,JavaScript,True,True,
gfontenot,gfontenot/hopsapp.com,2011-06-04T21:56:16Z,1,1,JavaScript,True,True,
JFrankfurt,JFrankfurt/ruby_view_server,2013-11-24T07:39:17Z,0,0,Ruby,True,True,
aterrel,aterrel/terrel.us,2010-08-15T12:15:54Z,1,1,,True,True,
bigcommerce,bigcommerce/drupal-module-clientside_validation,2013-05-15T01:28:17Z,1,1,,False,False,
peteanderson80,peteanderson80/SPICE,2016-07-15T01:22:07Z,137,137,Java,True,True,agpl-3.0
jamesbornholt,jamesbornholt/election2010results,2011-06-18T14:10:15Z,1,1,PHP,True,True,
allada,allada/serverbrowser,2013-07-07T01:39:17Z,0,0,JavaScript,True,False,
iMerica,iMerica/cactus,2012-05-25T23:53:25Z,1,1,Ruby,True,True,
jpotts,jpotts/public-api-examples,2013-01-18T17:28:37Z,1,1,Java,True,True,
karthequian,karthequian/mustache.js,2012-10-02T19:55:55Z,0,0,JavaScript,True,True,mit
sfomel,sfomel/seg_ww_2018,2018-08-09T18:32:00Z,0,0,Jupyter Notebook,True,True,mit
realityexpander,realityexpander/SpinList,2013-08-23T15:06:29Z,1,1,Java,True,False,apache-2.0
bradyz,bradyz/graphics,2016-04-26T03:22:38Z,2,2,C++,True,True,
MasonEgger,MasonEgger/GPO-Passwd-Crack,2015-02-27T15:00:25Z,0,0,PowerShell,True,True,
rfdickerson,rfdickerson/acm-sensys2014-website,2014-05-31T21:14:19Z,0,0,CSS,True,True,
jenperson,jenperson/ClimbMate,2017-01-31T05:52:09Z,0,0,Swift,True,True,
kalefranz,kalefranz/ASE,2012-02-08T20:50:53Z,1,1,,True,True,
jeffamstutz,jeffamstutz/mhbenchmark,2014-12-03T14:04:13Z,0,0,C++,True,True,
jeffreypalermo,jeffreypalermo/testing,2009-09-28T13:30:43Z,1,1,,True,True,
AdamBrodzinski,AdamBrodzinski/simple-validate,2012-10-10T20:37:44Z,0,0,CoffeeScript,True,True,mit
magento-engcom-team,magento-engcom-team/magento2,2018-02-16T17:11:01Z,3,3,PHP,True,True,osl-3.0
okyeron,okyeron/PixelController,2012-07-01T05:14:36Z,1,1,Java,True,True,gpl-3.0
Just-Moh-it,Just-Moh-it/Aston-Backend,2021-10-20T05:19:13Z,0,0,HTML,True,True,mit
koltyakov,koltyakov/sp-sig-20170608-demo,2017-06-06T09:23:30Z,1,1,TypeScript,True,True,
wbobeirne,wbobeirne/Voxel-Editor,2011-03-04T00:17:56Z,1,1,C#,True,True,
ArturoNereu,ArturoNereu/ClothSim,2011-04-22T02:36:20Z,37,37,C++,True,True,
jasonappah,jasonappah/LHS-Robotics-18,2018-09-13T21:28:00Z,1,1,CSS,True,True,
devrim,devrim/test,2011-02-22T16:26:50Z,1,1,,True,True,
baronfel,baronfel/Raven,2011-03-30T17:24:02Z,7,7,Java,True,True,
ChrisMissal,ChrisMissal/docu,2009-03-27T12:01:10Z,2,2,C#,True,True,other
giannisdaras,giannisdaras/miptree,2019-12-25T18:09:56Z,0,0,,True,True,
jasonppy,jasonppy/para-nmt-50m,2020-12-08T23:41:51Z,0,0,,True,True,
sgress454,sgress454/djangoappengine,2012-07-25T20:55:49Z,1,1,Python,True,False,other
FellowTraveler,FellowTraveler/function-calling-server,2024-07-01T03:55:02Z,0,0,,True,True,
sylvanc,sylvanc/hpscluster,2015-01-02T12:21:52Z,0,0,,True,True,mit
alex-miller-0,alex-miller-0/easy-ecc,2019-02-28T22:00:34Z,0,0,C,True,True,bsd-2-clause
manton,manton/longposts,2013-03-24T22:02:00Z,0,0,JavaScript,True,True,mit
bgentry,bgentry/dm-is-inheritable,2009-08-30T23:48:37Z,1,1,,True,True,
Noah-Kennedy,Noah-Kennedy/StrongHold-2016,2016-11-16T21:31:32Z,0,0,Java,True,True,
chriswahl,chriswahl/chriswahl,2020-07-20T04:07:01Z,1,1,,True,True,mit
smashism,smashism/pyMacWarranty,2015-08-19T17:22:02Z,0,0,Python,True,True,
DataDaimon,DataDaimon/DataCamp,2022-10-02T04:19:15Z,0,0,Jupyter Notebook,True,True,
sklam,sklam/numba-example-wavephysics,2012-09-10T17:46:46Z,1,1,Python,True,True,
dokun1,dokun1/SQLPARSER,2014-01-31T07:09:01Z,0,0,Objective-C,True,True,apache-2.0
koverholt,koverholt/fds-smv,2015-08-16T06:16:46Z,1,1,C,True,True,other
drewcrawford,drewcrawford/sneakernet,2010-05-24T04:23:01Z,79,79,Python,True,True,
dlo,dlo/growltweet,2009-11-19T17:34:52Z,1,1,Python,True,True,
beiatrix,beiatrix/sequelize-practice,2018-11-15T18:45:47Z,0,0,JavaScript,True,True,
robertsosinski,robertsosinski/ruby-des,2008-07-27T17:25:04Z,26,26,Ruby,True,True,mit
PaulBratslavsky,PaulBratslavsky/REACT-photowall,2019-08-05T22:43:59Z,0,0,JavaScript,True,True,
DrewML,DrewML/mongo-node-m101js,2013-08-27T00:28:34Z,0,0,JavaScript,True,True,
sailpoint-oss,sailpoint-oss/code-samples,2021-03-04T14:32:25Z,7,7,JavaScript,False,True,mit
brundonsmith,brundonsmith/FRIGEngine,2013-02-23T02:37:08Z,0,0,Java,True,True,
techthoughts2,techthoughts2/2012R2HyperVHotfixes,2016-06-05T15:05:09Z,0,0,PowerShell,True,True,
ZeroMemes,ZeroMemes/TekkitClassicPatcher,2017-08-15T22:34:51Z,1,1,Java,False,False,
treyhuffine,treyhuffine/Matrix-Class-C,2015-03-30T17:10:59Z,0,0,C++,True,True,
dpmex4527,dpmex4527/hubot-github-webhook-listener,2015-10-13T17:28:28Z,0,0,CoffeeScript,True,True,mit
jasonbaldridge,jasonbaldridge/type-supervised-tagging-2012emnlp,2012-05-26T14:32:32Z,0,0,Scala,True,True,
mrjasonweaver,mrjasonweaver/Respond,2011-04-30T20:53:57Z,0,0,JavaScript,True,True,
oracle-terraform-modules,oracle-terraform-modules/terraform-oci-tdf-block-storage,2019-11-25T14:42:59Z,2,2,HCL,True,True,upl-1.0
OR13,OR13/OpenCyc,2016-12-16T23:28:27Z,0,0,JavaScript,True,True,
DDRBoxman,DDRBoxman/dMPDe,2010-06-09T12:59:20Z,3,3,Java,True,True,
viritaromero,viritaromero/Algo-and-DS,2019-01-29T04:16:35Z,0,0,Python,True,True,
vijay03,vijay03/alc-strace,2014-02-03T00:14:28Z,0,0,C,True,True,
mcroydon,mcroydon/html2text-appengine,2009-01-31T13:31:32Z,6,6,Python,True,True,
mitchspano,mitchspano/AdvancermediateLWC,2019-07-27T22:44:26Z,1,1,JavaScript,True,True,
nazmulidris,nazmulidris/androidlearning_lifecycle,2013-08-24T08:26:04Z,2,2,,True,True,
tzlaine,tzlaine/2010_presentations,2013-06-25T13:25:54Z,0,0,C++,True,True,
